"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","268.8929768154979","368.7471913971764","4.9421875948568035","-0.30830782839576215","0.006799999999999917","0.007199999999999984","0.0064","835.5555555555555","0.0001853133224596215","0","0.0001853133224596215","0.0001853133224596215","","","true"
"11","254.39743963553937","175.834414593043","4.84110717862911","-0.30936968457726133","0.03300000000000003","0.039","0.027000000000000024","835.5555555555555","0.0003348748214549745","0","0.0003348748214549745","0.0003348748214549745","11_10:0.009670391363060277;11_12:0.005599639278009688","11_10:593.7777777777777;11_12:593.7777777777777","true"
"12","451.5133779002694","412.0170020922713","4.70839665326037","-0.31183095493798546","0.01639999999999997","0.013","0.01980000000000004","835.5555555555555","0.0001001896464571534","0","0.0001001896464571534","0.0001001896464571534","","","true"
"13","294.61321631366303","481.57013810366055","4.88812977481363","-0.3088087685854997","0.007400000000000073","0.007","0.007800000000000029","835.5555555555555","0.00016469405684000284","0","0.00016469405684000284","0.00016469405684000284","13_12:0.006198598547182188","13_12:593.7777777777777","true"
"14","315.6088641859292","33.35729473686394","4.8353909472447425","-0.30988928575810737","0.05159999999999998","0.0564","0.04679999999999995","835.5555555555555","0.0008031236794837003","0","0.0008031236794837003","0.0008031236794837003","14_0:0.006999271368750115;14_18:0.01852231479727995","14_0:593.7777777777777;14_18:593.7777777777777","true"
"15","17.626642474169678","20.346437196394287","4.711768831411766","0","0.38680000000000003","0.3978","0.3758","835.5555555555555","0.02471743267400564","0","0.02471743267400564","0.02471743267400564","","","true"
"16","274.0641934193483","99.6666800406905","4.900185847990026","-0.30882162824599824","0.04079999999999995","0.05059999999999998","0.031","835.5555555555555","0.0007369118055082181","0","0.0007369118055082181","0.0007369118055082181","16_26:0.01909459332326724","16_26:593.7777777777777","true"
"17","296.2945789861246","167.98464787353575","4.900151435306795","-0.3085748509504337","0.009000000000000008","0.00880000000000003","0.0092","835.5555555555555","0.00016963830258389328","0","0.00016963830258389328","0.00016963830258389328","17_12:0.009591427544501402","17_12:593.7777777777777","true"
"18","351.8995723273759","234.41326375262557","4.935195621075671","-0.30918188650745965","0.01100000000000001","0.0126","0.009399999999999964","835.5555555555555","0.0002788493968555537","0","0.0002788493968555537","0.0002788493968555537","","","true"
"19","374.3355010568906","21.28023376383838","4.780066264735604","-0.3106389363556615","0.0025999999999999357","0.0034","0.0018000000000000238","835.5555555555555","0.00014697697268041435","0","0.00014697697268041435","0.00014697697268041435","19_18:0.004142599814592363;19_20:0.0025066122459167506","19_18:593.7777777777777;19_20:593.7777777777777","true"
"20","511.23171940099456","318.48606269365405","4.674205356090596","-0.31205063927139387","0.02970000000000006","0.0252","0.03420000000000001","835.5555555555555","0.00016632641697939167","0","0.00016632641697939167","0.00016632641697939167","20_33:0.0061057147991364635","20_33:593.7777777777777","true"
"21","379.2177010282303","139.50896597612558","4.8425901265749545","-0.31009860190175154","0.018299999999999983","0.0118","0.024800000000000044","835.5555555555555","0.00011072493099775913","0","0.00011072493099775913","0.00011072493099775913","21_20:0.004524965247781038;21_22:0.0038852176120894866","21_20:593.7777777777777;21_22:593.7777777777777","true"
"22","421.7816984098177","331.99075576731167","4.745832753744324","-0.3108332439544664","0.019100000000000006","0.023800000000000043","0.0144","835.5555555555555","0.00016249940558384906","0","0.00016249940558384906","0.00016249940558384906","22_15:1","22_15:593.7777777777777","true"
"23","410.63826647249874","368.26321316442653","4.814096493355977","-0.31074100632792395","0.006099999999999994","0.006399999999999961","0.0058","835.5555555555555","0.00014467574913936678","0","0.00014467574913936678","0.00014467574913936678","23_22:0.004605551829060528","23_22:593.7777777777777","true"
"24","429.14869880781237","197.60879719790563","4.901548887062464","-0.30900368409611917","0.02190000000000003","0.020399999999999974","0.0234","835.5555555555555","0.0002197223466720054","0","0.0002197223466720054","0.0002197223466720054","24_23:0.0032411199345076247","24_23:593.7777777777777","true"
"25","189.97675659852555","289.7743062880606","4.7085474754655765","-0.31146582832141173","0.0040999999999999925","0.005","0.0031999999999999806","835.5555555555555","0.0002176529732703208","0","0.0002176529732703208","0.0002176529732703208","25_24:0.0074453774444795395","25_24:593.7777777777777","true"
"26","385.35289413094904","269.78955689784925","4.843715005570825","-0.31079434699802555","0.015300000000000091","0.0148","0.015800000000000036","835.5555555555555","0.00022909954279112514","0","0.00022909954279112514","0.00022909954279112514","26_25:0.006604504005567585;26_27:0.00645223967069064","26_25:593.7777777777777;26_27:593.7777777777777","true"
"27","452.239293469936","151.31478283443192","4.75926950596477","-0.3100516475500105","0.006599999999999939","0.0052","0.008000000000000007","835.5555555555555","0.00013735816210761937","0","0.00013735816210761937","0.00013735816210761937","","","true"
"28","310.14408407838977","47.34857731940723","4.847671280045883","-0.31014118090231224","0.007900000000000018","0.009600000000000053","0.0062","835.5555555555555","0.00021598185566367584","0","0.00021598185566367584","0.00021598185566367584","28_27:0.003981433471213908;28_35:0.00751919284283295","28_27:593.7777777777777;28_35:593.7777777777777","true"
"29","237.0111580495491","290.8727349938224","4.976389065759314","-0.3069387236990145","0.013800000000000034","0.013599999999999945","0.014","835.5555555555555","0.0001571563602322138","0","0.0001571563602322138","0.0001571563602322138","29_28:0.0055948698752208426","29_28:593.7777777777777","true"
"30","311.7093197681628","395.1058574931401","4.828944255970922","-0.30991187486271293","0.008299999999999974","0.0086","0.008000000000000007","835.5555555555555","0.00033371905256933745","0","0.00033371905256933745","0.00033371905256933745","30_29:0.006250052822542679;30_17:0.010756221002261118","30_29:593.7777777777777;30_17:593.7777777777777","true"
