"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"16","145.63273891340228","122.57483032974045","4.611563482480166","-0.3138385279742742","0.13720703125","0.140625","0.1337890625","1500","0.002117477242905272","0","0.002117477242905272","0.002117477242905272","16_8:0.018779184382329728","16_8:660","true"
"17","349.0321773921974","145.77661506012777","4.790143002969486","-0.309639823236787","0.02587890625","0.02392578125","0.02783203125","1500","0.0003860256465938533","0","0.0003860256465938533","0.0003860256465938533","17_30:0.010459228233997253","17_30:660","true"
"18","573.5077559141941","70.33281372609744","4.918398931723562","-0.30823139413664785","0.130859375","0.0146484375","0.2470703125","1500","0.0004309452170731811","0","0.0004309452170731811","0.0004309452170731811","18_19:1;18_14:0.005444623703412088","18_19:660;18_14:660","true"
"19","418.44987217586043","22.011131440139906","4.711774632251727","-0.3060263319182738","0.0712890625","0.0390625","0.103515625","1500","0.0005106920679255616","0","0.0005106920679255616","0.0005106920679255616","19_20:0.015446636690161109","19_20:660","true"
"20","278.9936039759207","158.85139901916355","4.751172379452178","-0.31065479909444627","0.0205078125","0.0205078125","0.0205078125","1500","0.00016227380584583754","0","0.00016227380584583754","0.00016227380584583754","","","true"
"21","615.5771291346106","281.246118575775","4.6433125407061455","-0.3118989078141984","0.039794921875","0.03173828125","0.0478515625","1500","0.0001752115410815157","0","0.0001752115410815157","0.0001752115410815157","21_20:0.005206101235550875","21_20:660","true"
"22","406.5645285097782","491.5062426457122","4.8937360029326955","-0.3085260924821569","0.057373046875","0.01416015625","0.1005859375","1500","0.0002657835583994213","0","0.0002657835583994213","0.0002657835583994213","22_21:0.007318725605233611;22_23:0.009006567522885145","22_21:660;22_23:660","true"
"23","404.7559537826985","35.371635222177055","4.674447181515577","-0.31124151331845984","0.021728515625","0.02099609375","0.0224609375","1500","0.0002489515304648647","0","0.0002489515304648647","0.0002489515304648647","","","true"
"24","299.8747981376911","34.8042023747353","4.733842384079826","-0.31079041514477307","0.021728515625","0.01904296875","0.0244140625","1500","0.0002393474498343692","0","0.0002393474498343692","0.0002393474498343692","24_23:0.009734708543547965","24_23:660","true"
"25","278.73556521390367","180.8134982317999","4.809217719581649","-0.310553819024601","0.01416015625","0.0166015625","0.01171875","1500","0.00023429465944068445","0","0.00023429465944068445","0.00023429465944068445","25_24:0.009441313114022465;25_26:0.00964360549047305","25_24:660;25_26:660","true"
"26","120.01783949278375","170.1924455475974","4.712454123973483","-0.3109596371888392","0.014892578125","0.01416015625","0.015625","1500","0.0001677135330163935","0","0.0001677135330163935","0.0001677135330163935","26_16:0.016935603778007735","26_16:660","true"
"27","387.12247349345853","166.30749977982907","4.801206447154469","","0.0146484375","0.00830078125","0.02099609375","1500","0.0007549577372532116","0","0.0007549577372532116","0.0007549577372532116","27_26:0.007143251355918756","27_26:660","true"
"28","203.28115384969507","116.08160906414254","4.902881464231861","-0.30821614899288385","0.11376953125","0.03271484375","0.19482421875","1500","0.0003688438548887762","0","0.0003688438548887762","0.0003688438548887762","28_27:0.007951614267503071;28_29:1;28_35:0.006813238150798873","28_27:660;28_29:660;28_35:660","true"
"29","129.30319177492504","34.22505196130787","4.636448921935828","-0.33701505913579904","0.043701171875","0.02587890625","0.0615234375","1500","0.0005394881848355466","0","0.0005394881848355466","0.0005394881848355466","","","true"
"30","227.554502454572","113.09856811031538","4.5633838441872445","-0.3144896289789751","0.021240234375","0.01513671875","0.02734375","1500","0.0003103545819643158","0","0.0003103545819643158","0.0003103545819643158","30_29:0.013246121634694963","30_29:660","true"
"31","392.09079055516725","98.40722532196209","4.793544101275704","-0.3101493841831437","0.013671875","0.01220703125","0.01513671875","1500","0.0002656189332874516","0","0.0002656189332874516","0.0002656189332874516","31_30:0.006627541345016641","31_30:660","true"
"32","504.6775959438492","44.69393797933191","4.73679365429549","-0.31010307966828876","0.032958984375","0.02197265625","0.0439453125","1500","0.0002264259283615969","0","0.0002264259283615969","0.0002264259283615969","32_36:0.007766173069763238;32_31:0.007874398228217783","32_36:660;32_31:660","true"
"33","517.3450152351088","107.18846317633131","4.849354391437465","-0.30883841066123774","0.02880859375","0.03857421875","0.01904296875","1500","0.00021275043138887598","0","0.00021275043138887598","0.00021275043138887598","33_20:0.006201616542462984;33_39:0.0045478108979372656","33_20:660;33_39:660","true"
"34","319.10979178078463","178.17760814027787","4.789258114096438","-0.309504945970127","0.01513671875","0.01806640625","0.01220703125","1500","0.00017973547423900875","0","0.00017973547423900875","0.00017973547423900875","34_24:0.0070426683811546376","34_24:660","true"
"35","567.9318750132787","173.7601305441904","4.763622722335926","-0.3105940547290412","0.0283203125","0.02294921875","0.03369140625","1500","0.0002391029829495838","0","0.0002391029829495838","0.0002391029829495838","35_47:0.00662205886189976","35_47:660","true"
"36","174.15025056187793","93.47567114883435","4.561619950623666","-0.32032756910701254","0.021484375","0.02099609375","0.02197265625","1500","0.00018979349604696878","0","0.00018979349604696878","0.00018979349604696878","","","true"
