2025-04-28 18:24:50.236549
QEC Code: 7_1_3
Task: Noise-Free Training for H Gate
Training for 160 data......
	 batch: 5 | Cost: -1.199249921590706e-09
	 batch: 6 | Cost: -5.628284727166033e-10
	 batch: 7 | Cost: 1.3146829180854526e-10
	 batch: 8 | Cost: -1.3559417144648477e-09
Epoch: 44 | Cost: -9.354927138494063e-10
	 batch: 1 | Cost: -1.3717366575960455e-09
	 batch: 2 | Cost: -1.0855580212520977e-09
	 batch: 3 | Cost: -1.6606915509420616e-09
	 batch: 4 | Cost: -7.089781317581867e-10
	 batch: 5 | Cost: -9.486929908320008e-10
	 batch: 6 | Cost: -2.041087665549668e-09
	 batch: 7 | Cost: 1.749758116176281e-11
	 batch: 8 | Cost: -3.322377606362892e-09
Epoch: 45 | Cost: -1.3902031303913984e-09
	 batch: 1 | Cost: -2.0763155972325365e-09
	 batch: 2 | Cost: -1.123109483192053e-09
	 batch: 3 | Cost: -1.4340553633473974e-09
	 batch: 4 | Cost: -1.7536181395882978e-10
	 batch: 5 | Cost: -6.383075179527964e-10
	 batch: 6 | Cost: -1.1830756818653754e-09
	 batch: 7 | Cost: -2.120365283353465e-09
	 batch: 8 | Cost: -3.15769542735822e-09
Epoch: 46 | Cost: -1.4885357710325843e-09
	 batch: 1 | Cost: -7.560555514984912e-10
	 batch: 2 | Cost: -2.042579783090304e-09
	 batch: 3 | Cost: -2.363162066032487e-09
	 batch: 4 | Cost: -2.528188891570693e-09
	 batch: 5 | Cost: -3.256785463534584e-09
	 batch: 6 | Cost: -2.8251216588337512e-09
	 batch: 7 | Cost: -1.7739186453091803e-09
	 batch: 8 | Cost: -3.3167132929001752e-09
Epoch: 47 | Cost: -2.3578156690962084e-09
	 batch: 1 | Cost: -3.897039613232067e-09
	 batch: 2 | Cost: -3.4895490608199963e-09
	 batch: 3 | Cost: -2.7230462218419403e-09
	 batch: 4 | Cost: -1.1644841313440679e-09
	 batch: 5 | Cost: -2.975547053196692e-09
	 batch: 6 | Cost: -2.678235677677776e-09
	 batch: 7 | Cost: -1.0143076711877087e-09
	 batch: 8 | Cost: -1.9676747675667627e-09
Epoch: 48 | Cost: -2.4887355246083764e-09
	 batch: 1 | Cost: -1.7446458278058685e-09
	 batch: 2 | Cost: -7.57355067548815e-10
	 batch: 3 | Cost: -2.1873961641993846e-09
	 batch: 4 | Cost: -1.5925808227734707e-09
	 batch: 5 | Cost: -1.6130416113924183e-09
	 batch: 6 | Cost: -4.042732815179306e-09
	 batch: 7 | Cost: -1.7717098121927678e-09
	 batch: 8 | Cost: -1.2278832062229127e-09
Epoch: 49 | Cost: -1.867168165914368e-09
	 batch: 1 | Cost: -1.7466536328392125e-09
	 batch: 2 | Cost: -2.8880017710619653e-09
	 batch: 3 | Cost: -4.175384582527641e-09
	 batch: 4 | Cost: -9.54988665924361e-10
	 batch: 5 | Cost: -2.8866718349007668e-09
	 batch: 6 | Cost: -2.893494566169608e-09
	 batch: 7 | Cost: -2.427626322187848e-09
	 batch: 8 | Cost: 2.4784491126084163e-10
Epoch: 50 | Cost: -2.21562205804382e-09

Weights after Training:  (1, 7, 3)
[[[ 0.25225019 -1.39055539 -1.57081549]
  [ 2.95608772  4.71285509 -4.77911516]
  [-4.82236745  4.71224384  4.82236745]
  [-5.21157745  4.71238893  3.38855001]
  [ 1.4983332  -1.57081879 -1.4983332 ]
  [-1.4144084   4.71231217 -1.72718425]
  [-3.42552203  4.71283584  4.74408725]]]

Circuit......
 0: ──RY(2.94)─╭●─╭●────╭X──────────────────────╭X─────────RX(0.25)───RY(-1.39)──RZ(-1.57)
 1: ───────────╰X─│──╭X─│───────────────────────│───────────────────────────────╭X────────
